source_wine_id,canonical_wine_id,alias_source_type,status,current_vivino_id,current_suppressed_at,current_suppress_reason
1741971,627240,d17_20260419_221902,eligible,,,
1741972,46875,d17_20260419_221902,eligible,,,
1741975,226290,d17_20260419_221902,eligible,,,
1741979,318121,d17_20260419_221902,eligible,,,
1741982,435843,d17_20260419_221902,eligible,,,
1741983,118100,d17_20260419_221902,eligible,,,
1741989,30896,d17_20260419_221902,eligible,,,
1742000,413692,d17_20260419_221902,eligible,,,
1742016,283966,d17_20260419_221902,eligible,,,
1742017,1138350,d17_20260419_221902,eligible,,,
1742026,635015,d17_20260419_221902,eligible,,,
1742029,79140,d17_20260419_221902,eligible,,,
1742035,1640646,d17_20260419_221902,eligible,,,
1742041,41957,d17_20260419_221902,eligible,,,
1742057,1631711,d17_20260419_221902,eligible,,,
1742061,1982,d17_20260419_221902,eligible,,,
1742072,19180,d17_20260419_221902,eligible,,,
1742073,5256,d17_20260419_221902,eligible,,,
1742076,30308,d17_20260419_221902,eligible,,,
1742077,30307,d17_20260419_221902,eligible,,,
1742080,38324,d17_20260419_221902,eligible,,,
1742093,11896,d17_20260419_221902,eligible,,,
1742094,30164,d17_20260419_221902,eligible,,,
1742096,22499,d17_20260419_221902,eligible,,,
1742098,29059,d17_20260419_221902,eligible,,,
1742102,38528,d17_20260419_221902,eligible,,,
1742103,29297,d17_20260419_221902,eligible,,,
1742106,830151,d17_20260419_221902,eligible,,,
1742111,63329,d17_20260419_221902,eligible,,,
1742112,48785,d17_20260419_221902,eligible,,,
1742113,23889,d17_20260419_221902,eligible,,,
1742115,573020,d17_20260419_221902,eligible,,,
1742124,37698,d17_20260419_221902,eligible,,,
1742125,37700,d17_20260419_221902,eligible,,,
1742126,37700,d17_20260419_221902,eligible,,,
1742127,37700,d17_20260419_221902,eligible,,,
1742131,1144458,d17_20260419_221902,eligible,,,
1742137,15306,d17_20260419_221902,eligible,,,
1742146,48234,d17_20260419_221902,eligible,,,
1742148,31113,d17_20260419_221902,eligible,,,
1742149,31110,d17_20260419_221902,eligible,,,
1742156,623427,d17_20260419_221902,eligible,,,
1742159,449990,d17_20260419_221902,eligible,,,
1742163,11794,d17_20260419_221902,eligible,,,
1742164,28495,d17_20260419_221902,eligible,,,
1742166,1982,d17_20260419_221902,eligible,,,
1742179,41957,d17_20260419_221902,eligible,,,
1742194,213508,d17_20260419_221902,eligible,,,
1742209,31329,d17_20260419_221902,eligible,,,
1742211,31329,d17_20260419_221902,eligible,,,
1742213,26226,d17_20260419_221902,eligible,,,
1742214,724831,d17_20260419_221902,eligible,,,
1742215,76642,d17_20260419_221902,eligible,,,
1742219,809373,d17_20260419_221902,eligible,,,
1742225,10070,d17_20260419_221902,eligible,,,
1742229,28973,d17_20260419_221902,eligible,,,
1742237,128710,d17_20260419_221902,eligible,,,
1742240,99856,d17_20260419_221902,eligible,,,
1742249,363109,d17_20260419_221902,eligible,,,
1742250,512231,d17_20260419_221902,eligible,,,
1742251,512231,d17_20260419_221902,eligible,,,
1742252,219560,d17_20260419_221902,eligible,,,
1742256,290866,d17_20260419_221902,eligible,,,
1742260,16447,d17_20260419_221902,eligible,,,
1742263,28535,d17_20260419_221902,eligible,,,
1742266,1079981,d17_20260419_221902,eligible,,,
1742269,216881,d17_20260419_221902,eligible,,,
1742270,70976,d17_20260419_221902,eligible,,,
1742275,329479,d17_20260419_221902,eligible,,,
1742276,16235,d17_20260419_221902,eligible,,,
1742291,21562,d17_20260419_221902,eligible,,,
1742292,122256,d17_20260419_221902,eligible,,,
1742293,122256,d17_20260419_221902,eligible,,,
1742294,199237,d17_20260419_221902,eligible,,,
1742295,107020,d17_20260419_221902,eligible,,,
1742297,579448,d17_20260419_221902,eligible,,,
1742300,354261,d17_20260419_221902,eligible,,,
1742313,569258,d17_20260419_221902,eligible,,,
1742314,190834,d17_20260419_221902,eligible,,,
1742316,190834,d17_20260419_221902,eligible,,,
1742318,569258,d17_20260419_221902,eligible,,,
1742324,30269,d17_20260419_221902,eligible,,,
1742326,500681,d17_20260419_221902,eligible,,,
1742331,1671807,d17_20260419_221902,eligible,,,
1742334,199735,d17_20260419_221902,eligible,,,
1742337,516483,d17_20260419_221902,eligible,,,
1742339,16577,d17_20260419_221902,eligible,,,
1742340,19088,d17_20260419_221902,eligible,,,
1742341,5389,d17_20260419_221902,eligible,,,
1742345,25636,d17_20260419_221902,eligible,,,
1742347,50529,d17_20260419_221902,eligible,,,
1742349,180351,d17_20260419_221902,eligible,,,
1742354,110055,d17_20260419_221902,eligible,,,
1742358,350271,d17_20260419_221902,eligible,,,
1742359,37459,d17_20260419_221902,eligible,,,
1742362,809373,d17_20260419_221902,eligible,,,
1742364,70976,d17_20260419_221902,eligible,,,
1742365,1079981,d17_20260419_221902,eligible,,,
1742368,70976,d17_20260419_221902,eligible,,,
1742369,70976,d17_20260419_221902,eligible,,,
1742376,31133,d17_20260419_221902,eligible,,,
1742378,137392,d17_20260419_221902,eligible,,,
1742390,71692,d17_20260419_221902,eligible,,,
1742409,25717,d17_20260419_221902,eligible,,,
1742410,584359,d17_20260419_221902,eligible,,,
1742414,8918,d17_20260419_221902,eligible,,,
1742422,41957,d17_20260419_221902,eligible,,,
1742425,398519,d17_20260419_221902,eligible,,,
1742430,698376,d17_20260419_221902,eligible,,,
1742433,449990,d17_20260419_221902,eligible,,,
1742444,219560,d17_20260419_221902,eligible,,,
1742451,1028235,d17_20260419_221902,eligible,,,
1742452,21596,d17_20260419_221902,eligible,,,
1742454,315985,d17_20260419_221902,eligible,,,
1742455,18717,d17_20260419_221902,eligible,,,
1742460,611492,d17_20260419_221902,eligible,,,
1742466,379481,d17_20260419_221902,eligible,,,
1742468,7961,d17_20260419_221902,eligible,,,
1742469,21562,d17_20260419_221902,eligible,,,
1742472,202583,d17_20260419_221902,eligible,,,
1742475,202583,d17_20260419_221902,eligible,,,
1742477,274258,d17_20260419_221902,eligible,,,
1742485,11794,d17_20260419_221902,eligible,,,
1742486,20016,d17_20260419_221902,eligible,,,
1742487,2691,d17_20260419_221902,eligible,,,
1742488,161334,d17_20260419_221902,eligible,,,
1742489,161334,d17_20260419_221902,eligible,,,
1742491,1214594,d17_20260419_221902,eligible,,,
1742492,354261,d17_20260419_221902,eligible,,,
1742493,354261,d17_20260419_221902,eligible,,,
1742498,778187,d17_20260419_221902,eligible,,,
1742499,148903,d17_20260419_221902,eligible,,,
1742501,13402,d17_20260419_221902,eligible,,,
1742505,194231,d17_20260419_221902,eligible,,,
1742506,1533961,d17_20260419_221902,eligible,,,
1742507,19802,d17_20260419_221902,eligible,,,
1742511,7064,d17_20260419_221902,eligible,,,
1742513,24614,d17_20260419_221902,eligible,,,
1742525,1107740,d17_20260419_221902,eligible,,,
1742530,358016,d17_20260419_221902,eligible,,,
1742531,68525,d17_20260419_221902,eligible,,,
1742533,169463,d17_20260419_221902,eligible,,,
1742540,38312,d17_20260419_221902,eligible,,,
1742541,255686,d17_20260419_221902,eligible,,,
1742542,11998,d17_20260419_221902,eligible,,,
1742543,12001,d17_20260419_221902,eligible,,,
1742544,149784,d17_20260419_221902,eligible,,,
1742545,11251,d17_20260419_221902,eligible,,,
1742547,7658,d17_20260419_221902,eligible,,,
1742560,3260,d17_20260419_221902,eligible,,,
1742561,402991,d17_20260419_221902,eligible,,,
1742567,38324,d17_20260419_221902,eligible,,,
1742574,232851,d17_20260419_221902,eligible,,,
1742590,2313,d17_20260419_221902,eligible,,,
1742610,322317,d17_20260419_221902,eligible,,,
1742611,83821,d17_20260419_221902,eligible,,,
1742612,258355,d17_20260419_221902,eligible,,,
1742618,144154,d17_20260419_221902,eligible,,,
1742621,219560,d17_20260419_221902,eligible,,,
1742633,31327,d17_20260419_221902,eligible,,,
1742635,31329,d17_20260419_221902,eligible,,,
1742637,63188,d17_20260419_221902,eligible,,,
1742638,76642,d17_20260419_221902,eligible,,,
1742642,26226,d17_20260419_221902,eligible,,,
1742648,740556,d17_20260419_221902,eligible,,,
1742650,91947,d17_20260419_221902,eligible,,,
1742652,27092,d17_20260419_221902,eligible,,,
1742657,76780,d17_20260419_221902,eligible,,,
1742659,725397,d17_20260419_221902,eligible,,,
1742670,310867,d17_20260419_221902,eligible,,,
1742671,240801,d17_20260419_221902,eligible,,,
1742672,30173,d17_20260419_221902,eligible,,,
1742673,53613,d17_20260419_221902,eligible,,,
1742680,74977,d17_20260419_221902,eligible,,,
1742683,1329733,d17_20260419_221902,eligible,,,
1742688,7281,d17_20260419_221902,eligible,,,
1742700,201384,d17_20260419_221902,eligible,,,
1742701,22143,d17_20260419_221902,eligible,,,
1742718,215889,d17_20260419_221902,eligible,,,
1742726,479748,d17_20260419_221902,eligible,,,
1742727,390130,d17_20260419_221902,eligible,,,
1742745,161334,d17_20260419_221902,eligible,,,
1742749,503278,d17_20260419_221902,eligible,,,
1742752,51981,d17_20260419_221902,eligible,,,
1742753,341079,d17_20260419_221902,eligible,,,
1742761,137392,d17_20260419_221902,eligible,,,
1742767,506695,d17_20260419_221902,eligible,,,
1742770,38324,d17_20260419_221902,eligible,,,
1742784,1640646,d17_20260419_221902,eligible,,,
1742792,453067,d17_20260419_221902,eligible,,,
1742801,10055,d17_20260419_221902,eligible,,,
1742824,27959,d17_20260419_221902,eligible,,,
1742825,27957,d17_20260419_221902,eligible,,,
1742826,41956,d17_20260419_221902,eligible,,,
1742828,31328,d17_20260419_221902,eligible,,,
1742829,1631711,d17_20260419_221902,eligible,,,
1742835,277862,d17_20260419_221902,eligible,,,
1742837,89861,d17_20260419_221902,eligible,,,
1742843,11794,d17_20260419_221902,eligible,,,
1742845,751,d17_20260419_221902,eligible,,,
1742855,92056,d17_20260419_221902,eligible,,,
1742861,573020,d17_20260419_221902,eligible,,,
1742865,257464,d17_20260419_221902,eligible,,,
1742868,354457,d17_20260419_221902,eligible,,,
1742869,375783,d17_20260419_221902,eligible,,,
1742871,20753,d17_20260419_221902,eligible,,,
1742874,1144458,d17_20260419_221902,eligible,,,
1742875,93101,d17_20260419_221902,eligible,,,
1742876,92467,d17_20260419_221902,eligible,,,
1742877,22141,d17_20260419_221902,eligible,,,
1742891,61048,d17_20260419_221902,eligible,,,
1742896,24415,d17_20260419_221902,eligible,,,
1742906,1409,d17_20260419_221902,eligible,,,
1742907,19297,d17_20260419_221902,eligible,,,
1742908,19297,d17_20260419_221902,eligible,,,
1742909,19297,d17_20260419_221902,eligible,,,
1742912,21650,d17_20260419_221902,eligible,,,
1742913,512231,d17_20260419_221902,eligible,,,
1742915,110902,d17_20260419_221902,eligible,,,
1742916,68525,d17_20260419_221902,eligible,,,
1742918,77521,d17_20260419_221902,eligible,,,
1742919,86598,d17_20260419_221902,eligible,,,
1742920,76059,d17_20260419_221902,eligible,,,
1742922,86598,d17_20260419_221902,eligible,,,
1742924,169463,d17_20260419_221902,eligible,,,
1742926,139803,d17_20260419_221902,eligible,,,
1742934,584359,d17_20260419_221902,eligible,,,
1742937,508239,d17_20260419_221902,eligible,,,
1742941,317399,d17_20260419_221902,eligible,,,
1742949,919376,d17_20260419_221902,eligible,,,
1742951,919376,d17_20260419_221902,eligible,,,
1742955,88853,d17_20260419_221902,eligible,,,
1742962,61048,d17_20260419_221902,eligible,,,
1742963,61048,d17_20260419_221902,eligible,,,
1742965,66804,d17_20260419_221902,eligible,,,
1742969,406152,d17_20260419_221902,eligible,,,
1742971,512231,d17_20260419_221902,eligible,,,
1742981,420856,d17_20260419_221902,eligible,,,
1742983,631543,d17_20260419_221902,eligible,,,
1742991,68525,d17_20260419_221902,eligible,,,
1743000,62209,d17_20260419_221902,eligible,,,
1743005,7065,d17_20260419_221902,eligible,,,
1743009,24613,d17_20260419_221902,eligible,,,
1743011,310867,d17_20260419_221902,eligible,,,
1743012,86831,d17_20260419_221902,eligible,,,
1743013,30173,d17_20260419_221902,eligible,,,
1743015,364442,d17_20260419_221902,eligible,,,
1743020,640063,d17_20260419_221902,eligible,,,
1743028,3993,d17_20260419_221902,eligible,,,
1743029,75386,d17_20260419_221902,eligible,,,
1743035,60589,d17_20260419_221902,eligible,,,
1743037,11883,d17_20260419_221902,eligible,,,
1743048,99420,manual,eligible,,,
1743055,153886,d17_20260419_221902,eligible,,,
1743056,153886,d17_20260419_221902,eligible,,,
1743061,435643,d17_20260419_221902,eligible,,,
1743062,262069,d17_20260419_221902,eligible,,,
1743063,984412,d17_20260419_221902,eligible,,,
1743064,1104990,d17_20260419_221902,eligible,,,
1743078,1317293,d17_20260419_221902,eligible,,,
1743080,10055,d17_20260419_221902,eligible,,,
1743085,21563,d17_20260419_221902,eligible,,,
1743087,336200,d17_20260419_221902,eligible,,,
1743088,40503,d17_20260419_221902,eligible,,,
1743092,354261,d17_20260419_221902,eligible,,,
1743093,354261,d17_20260419_221902,eligible,,,
1743096,24415,d17_20260419_221902,eligible,,,
1743100,627240,d17_20260419_221902,eligible,,,
1743102,327280,d17_20260419_221902,eligible,,,
1743105,11058,d17_20260419_221902,eligible,,,
1743107,28973,d17_20260419_221902,eligible,,,
1743115,16449,d17_20260419_221902,eligible,,,
1743116,16450,d17_20260419_221902,eligible,,,
1743117,86424,d17_20260419_221902,eligible,,,
1743123,212397,d17_20260419_221902,eligible,,,
1743125,90009,d17_20260419_221902,eligible,,,
1743128,3260,d17_20260419_221902,eligible,,,
1743129,3260,d17_20260419_221902,eligible,,,
1743130,294624,d17_20260419_221902,eligible,,,
1743132,24415,d17_20260419_221902,eligible,,,
1743134,148903,d17_20260419_221902,eligible,,,
1743135,593962,d17_20260419_221902,eligible,,,
1743137,31122,d17_20260419_221902,eligible,,,
1743139,876015,d17_20260419_221902,eligible,,,
1743150,151206,d17_20260419_221902,eligible,,,
1743151,15160,d17_20260419_221902,eligible,,,
1743165,1459398,d17_20260419_221902,eligible,,,
1743167,16577,d17_20260419_221902,eligible,,,
1743168,462007,d17_20260419_221902,eligible,,,
1743169,63356,d17_20260419_221902,eligible,,,
1743176,14793,d17_20260419_221902,eligible,,,
1743177,50529,d17_20260419_221902,eligible,,,
1743178,224474,d17_20260419_221902,eligible,,,
1743182,65591,d17_20260419_221902,eligible,,,
1743183,92228,d17_20260419_221902,eligible,,,
1743195,341079,d17_20260419_221902,eligible,,,
1743198,570323,d17_20260419_221902,eligible,,,
1743205,41562,d17_20260419_221902,eligible,,,
1743207,323999,d17_20260419_221902,eligible,,,
1743209,1693879,d17_20260419_221902,eligible,,,
1743215,224152,d17_20260419_221902,eligible,,,
1743217,1277459,d17_20260419_221902,eligible,,,
1743219,11883,d17_20260419_221902,eligible,,,
1743221,11058,d17_20260419_221902,eligible,,,
1743230,41957,d17_20260419_221902,eligible,,,
1743234,412983,d17_20260419_221902,eligible,,,
1743237,512231,d17_20260419_221902,eligible,,,
1743239,1982,d17_20260419_221902,eligible,,,
1743256,70811,d17_20260419_221902,eligible,,,
1743265,22043,d17_20260419_221902,eligible,,,
1743267,93490,d17_20260419_221902,eligible,,,
1743270,70976,d17_20260419_221902,eligible,,,
1743280,822714,d17_20260419_221902,eligible,,,
1743283,31328,d17_20260419_221902,eligible,,,
1743284,31329,d17_20260419_221902,eligible,,,
1743285,786920,d17_20260419_221902,eligible,,,
1743287,373917,d17_20260419_221902,eligible,,,
1743288,52412,d17_20260419_221902,eligible,,,
1743289,31328,d17_20260419_221902,eligible,,,
1743290,31329,d17_20260419_221902,eligible,,,
1743291,569252,d17_20260419_221902,eligible,,,
1743292,26226,d17_20260419_221902,eligible,,,
1743299,242745,d17_20260419_221902,eligible,,,
1743312,10070,d17_20260419_221902,eligible,,,
1743318,158686,d17_20260419_221902,eligible,,,
1743321,89861,d17_20260419_221902,eligible,,,
1743326,1680105,d17_20260419_221902,eligible,,,
1743333,775807,d17_20260419_221902,eligible,,,
1743334,138978,d17_20260419_221902,eligible,,,
1743335,24422,d17_20260419_221902,eligible,,,
1743336,31122,d17_20260419_221902,eligible,,,
1743337,255999,d17_20260419_221902,eligible,,,
1743339,13853,d17_20260419_221902,eligible,,,
1743343,37360,d17_20260419_221902,eligible,,,
1743344,37360,d17_20260419_221902,eligible,,,
1743345,27321,d17_20260419_221902,eligible,,,
1743346,68525,d17_20260419_221902,eligible,,,
1743349,259548,d17_20260419_221902,eligible,,,
1743351,292539,d17_20260419_221902,eligible,,,
1743352,682451,d17_20260419_221902,eligible,,,
1743353,222358,d17_20260419_221902,eligible,,,
1743354,519369,d17_20260419_221902,eligible,,,
1743364,310867,d17_20260419_221902,eligible,,,
1743366,312624,d17_20260419_221902,eligible,,,
1743367,812903,d17_20260419_221902,eligible,,,
1743368,709247,d17_20260419_221902,eligible,,,
1743371,68525,d17_20260419_221902,eligible,,,
1743373,77521,d17_20260419_221902,eligible,,,
1743374,76059,d17_20260419_221902,eligible,,,
1743375,86598,d17_20260419_221902,eligible,,,
1743377,169463,d17_20260419_221902,eligible,,,
1743384,584359,d17_20260419_221902,eligible,,,
1743396,226290,d17_20260419_221902,eligible,,,
