pair_id,source_wine_id,canonical_wine_id,verdict,source_vivino_ids,canonical_vivino_ids,shared_vivino_ids,source_top_producer,canonical_top_producer,reason
2270,2116762,531561,CONFIRMA,2833417|1144047|2116546|1546341|2394325|2047295|2913197|1248500|3235306|1914938,2833417|2410118|1805289|8982796|4538007|2320730|1654965|6287737|2302874|4491182,2833417,Vittoria,Paterno di Vittoria,Mesmo wine id Vivino 2833417 nas duas buscas
2271,2116869,14160,CONFIRMA,53124|1980333|1215091|2551377|2629269|7630307|10531456|7951582|4261495|12874786,53124|7051630|1837878|1703485|1533321|1715911|2213575|1182889|1195356|3779806,53124,Dominique Piron,Dominique Piron,Mesmo wine id Vivino 53124 nas duas buscas
2272,2116886,14160,CONFIRMA,53124|1980333|1215091|2551377|2629269|7630307|10531456|7951582|4261495|12874786,53124|7051630|1837878|1703485|1533321|1715911|2213575|1182889|1195356|3779806,53124,Dominique Piron,Dominique Piron,Mesmo wine id Vivino 53124 nas duas buscas
2273,2116934,682446,CONFIRMA,4457540|1977760|2272263|1404213|1915320|1182614|1567944|2134157|8854674|6001556,4457540|1977760|2033087|5032668|1323124|5844733|3782306|3223328|2272263|1404213,4457540|1977760|2272263|1404213,Dominique Portet,Dominique Portet,Mesmo wine id Vivino 4457540 nas duas buscas
2274,2116945,845595,CONFIRMA,6001556|1915320|10494253|4457540|1817272|2134157|1977760|11644411|2307267|2472153,6001556|1915320|4457540|10494253|1817272|2134157|1977760|1241162|1595477|1612845,6001556|1915320|10494253|4457540|1817272|2134157|1977760,Dominique Portet,Dominique Portet,Mesmo wine id Vivino 6001556 nas duas buscas
2275,2117195,425028,CONFIRMA,1215630|2388389|1157190|12323|12329|12326|12324|3097555|1162442|12337,2388389|12323|12329|1157190|1215630|12326|12324,1215630|2388389|1157190|12323|12329|12326|12324,Domaines Schlumberger,Domaines Schlumberger,Mesmo wine id Vivino 1215630 nas duas buscas
2276,2117343,114229,CONFIRMA,1281302|2073569|2037264|1616192|8716809|1390619|2106058|5137541,1281302|2073569,1281302|2073569,Guy & Yvan Dufouleur,Guy & Yvan Dufouleur,Mesmo wine id Vivino 1281302 nas duas buscas
2277,2117784,782674,CONFIRMA,5443219|2684452|13541268,5443219,5443219,Dominio del Águila,Dominio del Águila,Mesmo wine id Vivino 5443219 nas duas buscas
2278,2117877,491280,CONFIRMA,2634870|6104544|5009547|2022997|1296726|1700156,2634870|6104544|2022997,2634870|6104544|2022997,Dominio del Águila,Dominio del Águila,Mesmo wine id Vivino 2634870 nas duas buscas
2279,2117973,59288,CONFIRMA,1165527|9520943|1133062,1165527|1133029,1165527,Dominio del Bendito,Dominio del Bendito,Mesmo wine id Vivino 1165527 nas duas buscas
2280,2117981,40416,CONFIRMA,1133062|1165527|7623096|8704368|1205497|9520943|5202060|1202159|4887233|4569097,1133062,1133062,Dominio del Bendito,Dominio del Bendito,Mesmo wine id Vivino 1133062 nas duas buscas
2281,2118051,1554524,CONFIRMA,11679365|11037867|13651,11679365|5798643|9029263|5215828|12740179|10180610|5012021|4986355|1806074|11132641,11679365,Dominio del Cuarzo,Dominio del Cuarzo,Mesmo wine id Vivino 11679365 nas duas buscas
2282,2118861,593962,CONTRADIZ,5976239|12328293|12191004|11756996,3470332|4816186,,Géantet-Pansiot,Morey Saint Dcots,Géantet-Pansiot nao e Morey Saint Dcots no Vivino
2283,2119086,590326,CONFIRMA,3407131|4576960|5019621|2290800|9784455|2285174|12655128|1608878|7581585|1130889,3407131|10336034|6263662|2279190|6666855|2435410|2820403|8804116|12335760|10926667,3407131,Gebruder Ludwig,Gebruder Ludwig,Mesmo wine id Vivino 3407131 nas duas buscas
2284,2119132,81219,CONFIRMA,1242068|1205223|5294541|2655453|7978355,1205223|5294541|1242068,1242068|1205223|5294541,Domaine Arretxea,Domaine Arretxea,Mesmo wine id Vivino 1242068 nas duas buscas
2285,2119295,1171961,CONFIRMA,7954589|1814205|7938874|12744418,7954589,7954589,Domaine Aufranc,Domaine Aufranc,Mesmo wine id Vivino 7954589 nas duas buscas
2286,2119364,1272847,CONFIRMA,4392231|8833651|6330137|9977798,8833651|6330137|4392231,4392231|8833651|6330137,Domaine Augustin,Domaine Augustin,Mesmo wine id Vivino 4392231 nas duas buscas
2287,2120769,273858,CONFIRMA,1858556,1858556,1858556,Familia Torres,Familia Torres,Mesmo wine id Vivino 1858556 nas duas buscas
2288,2121827,1405695,CONFIRMA,10109775|2627641,10109775|13589523|13589744|84953|13536877|1970191|5901265|11963748|1545396|13465702,10109775,Asotom,Archetti,Mesmo wine id Vivino 10109775 nas duas buscas
